"id","SalInicial","Genero","Antiguidade","Idade","SalActual","Educ","Experiencia","Categoria"
628,12400,F,81,28,20080,16,0.25,4
630,28000,F,73,40,45400,16,12.5,5
632,14200,F,83,31,25960,15,4.08,5
633,12700,F,93,31,23200,16,1.83,4
635,21400,F,83,41,32350,19,13,5
637,16996,F,80,29,31250,18,2.42,4
641,10900,F,79,28,20080,15,3.17,1
649,9400,F,67,28,18100,15,0.5,1
650,9040,F,96,27,16420,15,1.17,1
652,10300,F,77,52,16300,12,26.42,3
653,10300,F,84,33,19720,15,6,1
656,10000,F,88,54,12880,12,27,1
657,14500,F,93,32,26000,17,2.67,4
658,14800,F,98,41,26800,15,12,5
659,17200,F,64,31,23020,19,2.25,5
660,9640,F,94,46,16300,12,20,3
669,17500,F,81,30,26200,19,5.17,4
671,10900,F,72,32,14380,15,6.92,1
683,10300,F,70,58,12520,15,31,1
685,15004,F,89,34,31500,17,3.17,4
690,11200,F,79,46,15460,15,21.75,1
696,14992,F,83,35,24500,16,5.75,5
697,20992,F,85,43,31700,20,11.17,7
702,12700,F,65,28,32000,16,1.58,4
704,17992,F,65,39,26000,19,10.75,5
706,16804,F,78,30,31250,19,2.92,4
707,17992,F,83,30,31000,17,0.75,5
708,10600,F,70,44,13000,12,18,2
709,14992,F,91,30,35300,18,3.92,4
712,10300,F,70,26,15760,15,1.25,2
715,10000,F,84,29,19540,15,4.42,1
717,16996,F,75,41,26000,18,10.42,5
719,16996,F,68,28,28000,17,1.42,6
722,9880,F,70,27,14980,12,3.42,2
726,17200,F,78,32,33400,19,3.75,4
734,9400,F,97,31,14920,12,5.5,1
735,14992,F,96,39,28150,19,8,4
736,10600,F,94,36,17920,15,7.75,2
739,10300,F,78,63,16300,8,35.75,3
740,11800,F,83,38,15736,12,12.5,1
745,9700,F,96,30,17020,15,3.58,2
751,10600,F,95,33,18040,15,7.5,1
756,14200,F,78,35,20020,15,11.08,5
757,11500,F,98,35,20080,16,3,1
759,12400,F,93,30,25250,16,4,4
760,11800,F,78,28,20140,16,1.67,1
761,10000,F,84,63,16300,8,31.67,3
764,12160,F,84,29,19000,15,2.75,1
765,10000,F,87,31,15040,12,6.25,2
