"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
18235657,1476,24983900,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",3,5,2,1,NA,216,NA,"Romantic Retreat in Jordaan","2017-07-23 03:04:04.467097",52.379019,4.882701,"0101000020E610000003965CC5E287134004C8D0B183304A40"
18324333,1476,30335325,"Entire home/apt",NA,"Amsterdam",NA,"De Pijp / Rivierenbuurt",6,5,4,3,NA,300,NA,"Spacious Split Level Apt with Roof Terrace @ Zuid","2017-07-23 03:23:04.271601",52.34281,4.893841,"0101000020E6100000B64B1B0E4B931340F25EB532E12B4A40"
1463449,1476,5739589,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",53,5,2,1,NA,227,NA,"Boutique Amstel River Loft","2017-07-23 03:00:37.468883",52.361119,4.904834,"0101000020E6100000473CD9CD8C9E13406C7BBB25392E4A40"
17262026,1476,116366774,"Entire home/apt",NA,"Amsterdam",NA,"Bos en Lommer",0,0,2,1,NA,114,NA,"Lovely one bed room apartment","2017-07-22 18:00:01.094598",52.380449,4.85525,"0101000020E6100000B29DEFA7C66B1340E065868DB2304A40"
13742923,1476,21035561,"Entire home/apt",NA,"Amsterdam",NA,"Bijlmer Centrum",15,5,4,1,NA,150,NA,"Appartement vlakbij Arena, Ziggodome, Heineken Hal","2017-07-23 00:34:52.416655",52.32207,4.944701,"0101000020E610000076FEEDB25FC71340E882FA9639294A40"
14494732,1476,57926693,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",9,5,2,1,NA,156,NA,"Great appartment and great super central location","2017-07-22 22:31:24.132587",52.364927,4.882322,"0101000020E61000004E2A1A6B7F871340B5368DEDB52E4A40"
18349669,1476,6935297,"Private room",NA,"Amsterdam",NA,"Slotervaart",0,0,2,0,NA,132,NA,"Large Private Studio","2017-07-22 16:33:20.651350",52.365324,4.828941,"0101000020E61000001041D5E8D5501340D238D4EFC22E4A40"
4516324,1476,1643502,"Entire home/apt",NA,"Amsterdam",NA,"Westerpark",25,4.5,4,3,NA,222,NA,"Lvly Sps Light Family House","2017-07-23 03:05:12.933134",52.37462,4.868675,"0101000020E610000044696FF085791340B936548CF32F4A40"
13617156,1476,78848211,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",14,4.5,2,0,NA,119,NA,"Cozy studio for couples in Amsterdam","2017-07-22 17:54:15.541229",52.370572,4.869665,"0101000020E610000043E73576897A13401B683EE76E2F4A40"
1796950,1476,9424370,"Entire home/apt",NA,"Amsterdam",NA,"De Pijp / Rivierenbuurt",22,4.5,2,1,NA,132,NA,"Charming apartment in heart of Pipe","2017-07-22 20:10:39.526984",52.352796,4.900687,"0101000020E6100000BABA63B14D9A13406E14596B282D4A40"
18646609,1476,129410275,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",2,0,4,2,NA,127,NA,"Modern and stylish City Retreat!","2017-07-22 19:58:56.155638",52.38216,4.88913,"0101000020E6100000E6913F18788E134070EB6E9EEA304A40"
13776069,1476,14151494,"Entire home/apt",NA,"Amsterdam",NA,"Noord Oost",19,4.5,4,2,NA,107,NA,"Family House Amsterdam Free Parking","2017-07-22 17:50:00.335408",52.406018,4.930087,"0101000020E610000030BDFDB968B813402ECBD765F8334A40"
16394229,1476,107392086,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",15,4.5,4,2,NA,216,NA,"Luxury New Apartment in Center","2017-07-23 03:13:34.842658",52.363673,4.917368,"0101000020E61000007496598462AB134017B83CD68C2E4A40"
14992434,1476,94519806,"Entire home/apt",NA,"Amsterdam",NA,"De Pijp / Rivierenbuurt",31,5,4,1,NA,179,NA,"TRENDY two-story DESIGN apartment CENTRAL location","2017-07-22 22:41:37.506608",52.355767,4.897005,"0101000020E6100000D8648D7A889613407EFFE6C5892D4A40"
5937860,1476,30828996,"Entire home/apt",NA,"Amsterdam",NA,"Westerpark",14,4.5,2,1,NA,144,NA,"Perfect apartment, top location!","2017-07-22 20:03:10.672446",52.384424,4.873731,"0101000020E61000006901DA56B37E134015E63DCE34314A40"
12794516,1476,25782037,"Entire home/apt",NA,"Amsterdam",NA,"Oud Oost",11,4.5,3,1,NA,119,NA,"Trendy Apartment in Amsterdam Oost","2017-07-22 17:50:35.317606",52.358502,4.935648,"0101000020E61000006F4562821ABE13407AC6BE64E32D4A40"
7345836,1476,960786,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",28,5,6,3,NA,252,NA,"Large family house with big garden","2017-07-23 03:41:21.310124",52.369715,4.859177,"0101000020E6100000CDE67118CC6F13409AEB34D2522F4A40"
16804658,1476,20345768,"Private room",NA,"Amsterdam",NA,"Centrum Oost",5,4,2,1,NA,102,NA,"Cosy room in Central, Modern & Bright apartment","2017-07-22 16:13:05.930419",52.372618,4.924011,"0101000020E6100000B89388F02FB2134052F355F2B12F4A40"
19759543,1476,139250914,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",1,0,3,0,NA,94,NA,"Nice Apartment Centre Of Amsterdam","2017-07-22 17:26:04.239328",52.366852,4.915706,"0101000020E610000000016BD5AEA91340713C9F01F52E4A40"
17469753,1476,4152364,"Private room",NA,"Amsterdam",NA,"Geuzenveld / Slotermeer",1,0,4,1,NA,168,NA,"Relax 'n  Chill out","2017-07-22 16:35:12.196185",52.384246,4.817099,"0101000020E61000009160AA99B544134035CF11F92E314A40"
3996622,1476,3747992,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",6,5,2,1,NA,126,NA,"The Perfect Place in Amsterdam","2017-07-22 20:21:48.640967",52.371445,4.849566,"0101000020E6100000952C27A1F4651340A1A17F828B2F4A40"
12441473,1476,61978359,"Entire home/apt",NA,"Amsterdam",NA,"Oud Oost",0,0,6,2,NA,133,NA,"Cozy Amsterdammer apartment...","2017-07-22 20:06:22.030978",52.356597,4.924572,"0101000020E610000073309B00C3B21340056D72F8A42D4A40"
16953146,1476,55662417,"Entire home/apt",NA,"Amsterdam",NA,"Bos en Lommer",5,5,2,1,NA,144,NA,"Lovely, bright, spacious appartment (105M2)","2017-07-22 20:13:33.737001",52.377476,4.839191,"0101000020E6100000E063B0E2545B13403083312251304A40"
4157853,1476,19562807,"Private room",NA,"Amsterdam",NA,"Centrum West",69,5,2,1,NA,180,NA,"Cosy guest suite in Old City, Amsterdam","2017-07-22 16:34:58.111672",52.372987,4.896339,"0101000020E610000073840CE4D9951340A56ABB09BE2F4A40"
13877070,1476,82100580,"Private room",NA,"Amsterdam",NA,"De Baarsjes / Oud West",2,0,2,1,NA,96,NA,"Comfortable room near Centre & Vondelpark","2017-07-22 16:14:51.544842",52.360445,4.864325,"0101000020E6100000F775E09C11751340DC80CF0F232E4A40"
16185076,1476,105686066,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",4,5,2,1,NA,240,NA,"Central spacious apartment Jordaan","2017-07-23 03:03:36.127020",52.372906,4.878661,"0101000020E610000027158DB5BF831340B83D4162BB2F4A40"
7898652,1476,41646204,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",1,0,4,2,NA,180,NA,"Lovely apartment city centre.","2017-07-22 22:21:03.342054",52.375836,4.898874,"0101000020E610000019E6046D729813406954E0641B304A40"
15595279,1476,100490570,"Entire home/apt",NA,"Amsterdam",NA,"Ijburg / Eiland Zeeburg",0,0,4,2,NA,194,NA,"Rieteiland B&B","2017-07-23 02:42:23.612584",52.356394,4.989045,"0101000020E6100000DB166536C8F41340CD3E8F519E2D4A40"
12673552,1476,68861294,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",1,0,2,1,NA,96,NA,"Beautiful Sunny Apartment","2017-07-22 17:32:25.992894",52.362403,4.850219,"0101000020E610000055C03DCF9F661340747CB438632E4A40"
3195446,1476,6404785,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",30,4.5,3,1,NA,131,NA,"Cosy apartment in the nicest area of Amsterdam!","2017-07-22 21:09:26.060084",52.366117,4.87788,"0101000020E6100000FB3F87F9F28213403CC1FEEBDC2E4A40"
18353977,1476,25185102,"Private room",NA,"Amsterdam",NA,"De Baarsjes / Oud West",2,0,2,3,NA,108,NA,"Bright room with balcony access in the trendy West","2017-07-22 16:27:24.173777",52.368141,4.868315,"0101000020E610000045813E91277913408BA8893E1F2F4A40"
14760407,1476,92036157,"Entire home/apt",NA,"Amsterdam",NA,"Bijlmer Oost",14,5,4,1,NA,117,NA,"Nice & peaceful apt w/ garden, 20min from city ctr","2017-07-22 18:22:58.392294",52.319804,4.982041,"0101000020E61000001553E9279CED1340A3906456EF284A40"
