club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,involved_country
FC Porto,Diogo Dalot,19.0,Right-Back,Man Utd,€22.00m,out,Summer,22.0,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Ricardo Pereira,24.0,Right-Back,Leicester,€22.00m,out,Summer,22.0,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Willy Boly,27.0,Centre-Back,Wolves,€12.00m,out,Summer,12.0,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Miguel Layún,30.0,Right-Back,Villarreal,€4.00m,out,Summer,4.0,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Gonçalo Paciência,23.0,Centre-Forward,E. Frankfurt,€3.00m,out,Summer,3.0,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Paulinho,24.0,Attacking Midfield,Portimonense SC,€2.52m,out,Summer,2.52,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Hyun-jun Suk,27.0,Centre-Forward,Troyes,€2.00m,out,Summer,2.0,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,João Carlos Teixeira,25.0,Attacking Midfield,Vitória Guimarães SC,€1.28m,out,Summer,1.28,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Iván Marcano,31.0,Centre-Back,AS Roma,free transfer,out,Summer,0.0,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Zé Manuel,27.0,Second Striker,CD Santa Clara,free transfer,out,Summer,0.0,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Diego Reyes,25.0,Centre-Back,Fenerbahce,free transfer,out,Summer,0.0,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Galeno,20.0,Left Midfield,Rio Ave FC,loan transfer,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Portugal
FC Porto,André André,28.0,Central Midfield,Vitória Guimarães SC,?,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Rafa Soares,23.0,Left-Back,Vitória Guimarães SC,?,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Mikel Agu,25.0,Defensive Midfield,Vitória Setúbal FC,loan transfer,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Majeed Waris,26.0,Centre-Forward,FC Nantes,loan transfer,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,João Costa,22.0,Goalkeeper,FC Cartagena,loan transfer,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Yordan Osorio,24.0,Centre-Back,Vitória Guimarães SC,loan transfer,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Saidy Janko,22.0,Right-Back,Nottm Forest,loan transfer,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,José Sá,25.0,Goalkeeper,Olympiacos,loan transfer,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Others
FC Porto,Ewerton,25.0,Central Midfield,Portimonense SC,loan transfer,out,Summer,,Liga Nos,2018,2018/2019,Portugal,Others
