Data e Hora,producao_total,producao_renovavel,hidrica,eolica,solar,ondas,biomassa,producao_nao_renovavel,carvao,gas_natural,termica,producao_por_bombagem,importacao,exportacao
2011-01-01,107.975628,73.076341,63.95204199999999,2.142578,0.122491,0.0,6.85923,34.484478,4.3443,28.367837,1.772341,0.41481,12.4186,0.0852
2011-01-02,109.657562,71.219553,62.732572,1.469945,0.197608,0.0,6.819428,37.876984,0.7383,35.343969,1.794715,0.561025,20.8615,0.0
2011-01-03,150.642916,74.66008,63.15890399999999,4.503582,0.166772,0.0,6.830821,74.808327,14.9438,55.179956,4.684572,1.174509,13.4903,1.0916
2011-01-04,159.833303,101.106584,64.904843,28.734425,0.256511,0.0,7.210805,58.567678,4.8496,48.985982,4.732096,0.159041,9.3552,0.7629
2011-01-05,170.854279,133.687873,67.566754,58.869586,0.208719,0.0,7.042814,36.428947,4.6337,27.003927,4.79132,0.73746,6.7881,6.8363
2011-01-06,164.646087,138.704128,61.134257,70.496222,0.155769,0.0,6.91788,24.688559,1.6661,18.172225,4.850234,1.2534,7.7957,2.9633
2011-01-07,165.179379,136.594865,63.31785,65.832349,0.27203,0.0,7.172635,28.119532,4.9597,18.234295,4.925537,0.464983,1.8851,2.7147
2011-01-08,151.012026,123.733711,66.00581199999999,50.599815,0.08281,0.0,7.045274,25.508764,2.7178,19.936773,2.85419,1.769551,5.6122,10.3579
2011-01-09,129.6972,99.445955,73.560291,18.674753,0.214307,0.0,6.996604,28.767731,2.3878,24.398045,1.981886,1.483514,7.206,1.4143
2011-01-10,142.576859,111.719852,70.181893,34.133466,0.40402,0.0,7.000473,29.365547,3.1882,21.446707,4.73064,1.49146,24.7698,0.0
2011-01-11,146.567067,111.179228,72.98637699999999,30.701627,0.347571,0.0,7.143653,34.489505,1.8672,27.857452,4.764852,0.898335,20.0663,0.7121
2011-01-12,139.666624,97.59604,83.656401,6.593789,0.394717,0.0,6.951133,39.576698,1.8698,32.919085,4.787813,2.493886,22.5379,0.0
2011-01-13,141.093716,102.869464,85.59252599999999,9.766378,0.407436,0.0,7.103124,36.797431,1.9815,29.835196,4.980734,1.426821,22.1396,0.0
