,sexo,idade,habilit,p1,p2,p3,p4,p5a,p5b,p5c,p5d,p5e,p5f,p5g,p5h,p5i,p5j,p5k,pb,pc,pd,pe
0,feminino,33.0,até ensino secundário,Expresso,60.0,Ler tudo com atenção,8.0,2,2,4,4,3,5,5,5,2,5,5,diários e semanários,5.0,70.0,
1,feminino,33.0,até ensino secundário,Expresso,60.0,Ler tudo com atenção,5.0,3,4,4,5,4,4,4,4,5,4,4,diários e semanários,2.0,70.0,correio da manhã
2,feminino,37.0,até ensino secundário,Expresso,120.0,Ler algumas secções,5.0,4,3,4,4,3,3,4,5,5,4,3,diários e semanários,3.0,140.0,a capital
3,feminino,30.0,até ensino secundário,Expresso,180.0,Ler algumas secções,4.0,2,3,4,5,2,3,3,5,1,3,5,diários e semanários,1.0,200.0,diário de notícias
4,feminino,25.0,até ensino secundário,Expresso,30.0,Ler algumas secções,3.0,4,3,4,5,4,5,5,5,5,5,4,diários e semanários,2.0,30.0,
5,feminino,45.0,até ensino secundário,Expresso,120.0,Ler tudo com atenção,3.0,1,2,5,5,4,5,4,5,5,5,5,diários e semanários,3.0,140.0,diário de notícias
6,feminino,28.0,ensino médio e superior,Expresso,90.0,Ler tudo com atenção,9.0,3,2,5,5,5,3,4,3,5,3,1,diários e semanários,10.0,110.0,diário de notícias
7,feminino,,ensino médio e superior,Expresso,150.0,Ler tudo com atenção,9.0,4,3,5,4,3,4,4,5,5,5,5,diários e semanários,10.0,180.0,diário de notícias
8,feminino,,ensino médio e superior,Expresso,150.0,Ler tudo com atenção,7.0,3,3,4,5,5,4,4,5,5,5,4,diários e semanários,7.0,180.0,diário de notícias
9,feminino,37.0,ensino médio e superior,Expresso,120.0,Ler tudo com atenção,6.0,3,4,4,5,5,5,4,4,3,5,4,diários e semanários,6.0,140.0,a capital
10,feminino,25.0,ensino médio e superior,Expresso,30.0,Ler algumas secções,5.0,1,1,5,3,4,2,2,5,1,5,2,diários e semanários,3.0,30.0,outro
11,feminino,45.0,ensino médio e superior,Expresso,120.0,Ler algumas secções,4.0,3,3,4,4,3,4,4,5,2,4,5,diários e semanários,11.0,140.0,correio da manhã
12,feminino,30.0,ensino médio e superior,Expresso,180.0,Ler tudo com atenção,4.0,4,3,5,5,5,5,4,4,5,5,4,diários e semanários,7.0,210.0,correio da manhã
13,feminino,28.0,ensino médio e superior,Expresso,90.0,Ler tudo com atenção,2.0,3,4,4,5,4,4,4,4,3,5,5,diários e semanários,9.0,100.0,outro
14,masculino,,até ensino secundário,Expresso,60.0,Ler tudo com atenção,10.0,3,4,4,5,3,4,3,4,5,3,4,diários e semanários,6.0,70.0,público
