Club_Name,Club_Involved
FC Porto,FC Porto
Sporting CP,Sporting CP
SL Benfica,Benfica
SC Braga,SC Braga
Vitória Guimarães SC,Vit. Guimarães
Rio Ave FC,Rio Ave FC
Portimonense SC,Portimonense
CS Marítimo,
GD Chaves,Chaves
Desportivo Aves (- 2020),Desportivo Aves
Belenenses SAD,B SAD
Vitória Setúbal FC,Vitória Setúbal
Boavista FC,Boavista
Moreirense FC,
CD Tondela,
CD Feirense,
CD Nacional,
CD Santa Clara,Santa Clara
FC Paços de Ferreira,Paços Ferreira
FC Famalicão,Famalicão
Gil Vicente FC,Gil Vicente
SC Farense,
FC Arouca,Arouca
GD Estoril Praia,Estoril Praia
FC Vizela,Vizela
Casa Pia AC,Casa Pia
,Tondela
,Moreirense
,Benfica U23
,SC Covilhã
,Leixões
,Braga B
,Trofense
,Vilafranquense
,Feirense
